CustomerName,FeedbackID,Product,FeedbackText,Sentiment,Rating,PurchaseDate,Location,CustomerEmail,OrderID
Vincent Sims MD,7776,Air Conditioner,The overall experience was extremely frustrating and disappointing.,negative,4,2018-07-09,East Alexland,elizabethwilson@example.com,917933
Benjamin Malone,8186,Laptop Stand,The clouds moved across the sky.,neutral,1,2015-03-30,Vasquezport,tracy80@example.net,288204
Ashley Evans MD,2742,Mini Fridge,The level of detail in your work is truly remarkable.,positive,4,2022-01-21,Lake Matthew,cwilcox@example.net,300795
Anthony Martin,8734,Electric Grill Pan,The food arrived cold and was clearly not fresh.,negative,2,2018-08-24,West Johntown,wendyhughes@example.net,735840
Dawn Carter,4634,Smart Doorbell,A new restaurant opened on Main Street.,neutral,1,2021-02-16,South Connie,greenbrittany@example.net,682160
Andrew Cabrera,9729,Ice Cream Maker,I appreciate your willingness to go the extra mile.,positive,4,2020-07-30,Annachester,javier14@example.com,201255
Brian Cowan,8908,Air Conditioner,The warranty on the product proved to be completely worthless.,negative,1,2016-03-27,East Brian,asaunders@example.org,447664
Michelle Parker,4079,Smart Plug,Your positive attitude is infectious and inspiring.,positive,5,2019-08-15,East Patriciatown,qanderson@example.org,214514
Sarah Williams,4700,Electric Pans,The cleanliness of the restrooms was unacceptable and unsanitary.,negative,1,2016-02-25,Jeffersonchester,sergiobennett@example.org,939302
Todd Smith,8508,Dryer,The food was cold and unappetizing,negative,4,2019-08-10,North Edward,weisscharles@example.com,882125
Amy Richmond,2642,Smart Refrigerator,The packaging was insufficient,negative,5,2017-03-28,Danielhaven,megan31@example.org,682765
Erika Martinez MD,7358,Waffle Maker,Your dedication and hard work are clearly evident in the final product.,positive,5,2020-10-29,West Dylan,rebecca39@example.org,744386
Amber Rodriguez,8507,Heater,The meeting lasted an hour.,neutral,4,2021-03-30,Torresmouth,courtney38@example.com,724950
Lucas Singleton,9405,Smart Doorbell,The food was cold and unappetizing,negative,3,2022-03-22,West Richard,abigailwarner@example.org,654769
Randy Long,9626,Power Bank,Your presentation was incredibly insightful and well-structured.,positive,4,2021-11-29,East Jason,david40@example.org,504054
Paul Barry,2869,Wireless Charger,The building is three stories tall.,neutral,1,2018-12-14,Jonesmouth,krojas@example.com,883756
Madison Morrow,2844,Smart Mirror,There was a significant delay in processing my return request.,negative,4,2020-09-29,Kennedyville,howelllinda@example.com,421679
Bruce Dickson,4288,Electric Knife,The experiment yielded interesting results.,neutral,3,2015-12-31,Yangmouth,stevensbenjamin@example.com,916868
Julie White,2021,Stand Mixer,The meeting is scheduled for 3 PM.,neutral,3,2016-11-21,Howardmouth,jacob37@example.net,227918
Julie Johnson,9032,Air Conditioner,The children are playing in the park.,neutral,4,2015-04-02,Michaelshire,padams@example.org,444618
William Gomez,8929,Bluetooth Speaker,The warranty information was difficult to locate and understand.,negative,5,2023-11-11,North Andrewburgh,david62@example.net,636378
Kyle Anderson,3789,Paint Sprayer,The website was difficult to navigate and lacked essential information.,negative,2,2021-08-27,Rodriguezshire,donna91@example.com,161009
Aaron Silva,7706,Standing Desk,The resolution offered was inadequate and did not address the root of the problem.,negative,3,2022-05-02,Lake Curtis,darroyo@example.org,698584
Zachary Craig,3948,Smart Refrigerator,You possess a rare combination of talent and hard work.,positive,3,2023-06-22,Tylerborough,karenmcdaniel@example.com,654399
Joseph Smith,5287,Bluetooth Speaker,A dog barked in the distance.,neutral,4,2020-07-24,North Jessica,jasondonovan@example.net,564011
Andrew Cox DVM,3106,Food Processor,Your positive impact on the team is immeasurable.,positive,3,2020-10-24,Christophertown,jenniferbaxter@example.com,337953
Tami Rodriguez,6320,Desk Lamp,Your commitment to excellence is admirable.,positive,1,2020-09-04,Davidsonborough,ian63@example.net,416179
Brianna Young,7477,Portable Humidifier,Your presentation was incredibly insightful and engaging.,positive,2,2015-06-19,New Katieburgh,john78@example.com,840594
Robert Weeks,9547,Projector,The flowers bloomed in the spring.,neutral,2,2018-10-15,Port Dawnborough,bryangill@example.net,967159
David Walsh,4628,Stand Mixer,The return process is overly complicated and burdensome,negative,4,2018-09-23,Westbury,phillipscarol@example.org,186182
Kendra Haley,3171,Pressure Cooker,The accompanying vegetables were cold and limp,negative,1,2021-11-13,Port Norman,kimtiffany@example.org,298748
Elizabeth Watkins,2185,Home Assistant,The river flowed towards the ocean.,neutral,2,2023-02-28,Mccarthyburgh,syoung@example.org,119125
Andrea King,5790,Game Console,The book contains many chapters.,neutral,1,2020-07-12,Daymouth,rileyjoseph@example.org,512455
David Howard,4673,Robot Vacuum,Birds build nests.,neutral,5,2021-08-24,Mistyport,nicholastaylor@example.com,658180
Lindsay Carrillo,6725,Gaming Mousepad,The meeting is scheduled for 3 PM.,neutral,2,2018-09-10,Danielchester,smithcassandra@example.net,497911
Brenda Brooks,2330,Bluetooth Headphones,The ambiance was unpleasant,negative,2,2017-05-31,Lake Angela,wbarnett@example.net,928425
Christopher Craig,4135,Coffee Bean Roaster,I've been consistently amazed by your ability to learn and adapt to new challenges.,positive,5,2022-03-27,Curtistown,bdavis@example.net,404595
Alexis Galloway,9978,Drones,You've shown significant improvement in your skills,positive,4,2018-01-01,Valentinestad,xevans@example.com,638762
Philip Boyd,3000,Smartwatch,The car is parked in the garage.,neutral,2,2015-03-10,New Markfurt,bartondiane@example.org,263669
Vanessa Mcbride,5384,Electric Blanket,The steak was overcooked and tough,negative,4,2015-05-01,East Kimberlyview,dmartin@example.net,604961
Stephanie Barnes,7890,TV Stand,The value for money was extremely poor considering the quality of service and food.,negative,3,2016-04-26,Shelbyton,heidibarnes@example.org,429207
James Daniels,5685,Hair Dryer,The shipping was excessively slow,negative,1,2019-02-04,West Jameschester,barbaramalone@example.com,296010
Kathleen Davis,5062,Smartphone Stand,The library contains a vast collection of books.,neutral,1,2023-11-19,East Rachel,heathermiddleton@example.org,505293
Christina Sims,5694,Electric Toothbrush,The sky is a light blue today.,neutral,3,2021-11-12,North Wandachester,padillamichael@example.org,996113
Melissa Robinson,3532,Projector,The seating was cramped and uncomfortable.,negative,4,2020-09-13,Jenningsshire,jjohnson@example.net,898821
Angela Wilson,2541,Smart Doorbell,I am extremely disappointed with the overall value for money.,negative,1,2017-12-02,Oliverfort,ydavis@example.org,972122
